Code,State,Count
AL,ALABAMA,36369
AR,ARKANAS,1749
AZ,ARIZONA,62330
CA,CALIFORNIA,663204
CO,COLORADO,40124
CT,CONNECTICUT,22803
DC,DISTRICT OF COLUMBIA,3653
DE,DELAWARE,4434
FL,FLORIDA,223746
GA,GEORGIA,83620
IA,IOWA,10346
ID,IDAHO,1757
IL,ILLINIOUS,86390
IN,INDIANA,30040
KS,KANSAS,6887
KY,KENTUCKY,19122
LA,LOUISIANA,52481
MA,MASSACHUSETTS,33014
MD,MARYLAND,43328
ME,MAINE,2065
MI,MICHIGAN,88694
MN,MINNESOTA,62727
MO,MISSOURI,29012
MS,MISSISSIPPI,5961
MT,MONTANA,504
NC,NORTH CAROLINA,142460
ND,NORTH DAKOTA,43
NE,NEBRASKA,22505
NH,NEW HAMPSHIRE,7064
NJ,NEW JERSY,49942
NM,NEW MEXICO,5020
NV,NEVADA,9524
NY,NEW YORK,137799
OH,OHIO,55863
OK,OKLAHOMA,51297
OR,OREGON,70840
PA,PENNSYLVANIA,90395
RI,RHODE ISLAND,10483
SC,SOUTH CAROLINA,146689
SD,SOUTH DAKOTA,60
TN,TENNESSEE,58289
TX,TEXAS,298062
UT,UTAH,41385
VA,VIRGINIA,79957
VT,VERMONT,585
WA,WASHINGTON,61367
WI,WISCONSIN,17580
WV,WEST VIRGINIA,2274
WY,WYOMING,492
